Block Height,Price
881220,12.58809
881200,12.65
881180,12.6538
881120,12.58
881100,12.60971
881090,12.65
881070,12.71
881040,12.8212
881000,12.86559
880980,12.65
880970,12.44
880950,12.4966
880860,12.65
880820,12.6596
880760,12.58
880740,12.65
880730,12.72346
880680,12.75104
880660,12.65
880620,12.59
880570,12.52
880550,12.4966
880500,12.54572
880440,12.6332
880400,12.44
880360,12.654
880230,12.3944
880180,12.5997
880170,12.561
880110,12.51
880100,12.3944
880030,12.3482
880010,12.37967
879990,12.33853
879950,12.37
879920,12.3829
879910,12.45
879900,12.46667
879870,12.45
879860,12.48
879840,12.52
879820,13.0624
879770,13.12
879740,13.4197
879720,13.43
879700,13.50721
879670,13.64
879630,13.72
879610,13.58701
879580,13.51
879560,13.38095
879550,13.259145
879530,13.251545
879470,13.2599
879450,13.23935
879440,13.255005
879430,13.2085
879410,13.18545
879400,13.169885
879390,13.173235
879340,12.91
879310,13
879290,13.006295
879280,13
879250,13.036295
879240,13.06
879220,13.14274
879200,13.21419
879180,13.221915
879140,13.160015
879110,13.14
879070,13.274335
879010,13.19235
878990,13.2489
878940,13.11545
878900,13.240785
878880,13.19235
878870,13.05045
878840,12.985
878820,13.032585
878790,13.14545
878770,13.185
878660,13.2769
878650,13.2569
878640,13.23781
878620,13.12281
878600,13.0799
878590,13.02
878530,12.91
878510,12.995
878500,13.0749
878460,13.1349
878430,13.168225
878420,13.18196
878400,13.15196
878350,13.10509
878330,13.03387
878320,13.05387
878290,13.17
878260,13.2669
878250,13.27
878220,13.346735
878170,13.415
878150,13.464735
878140,13.57492
878130,13.575
878120,13.5496
878110,13.523
878100,13.71385
878080,13.689515
878050,13.62235
878040,13.76885
877990,13.82885
877970,13.907985
877910,13.788035
877830,13.7351
877770,13.69385
877690,13.67885
877680,13.69
877670,13.67885
877610,13.658705
877550,13.78885
877530,13.639855
877490,13.62145
877430,13.60645
877420,13.638955
877390,13.767505
877360,13.88
877330,13.92194
877300,13.89935
877290,13.79895
877270,13.82719
877260,13.79
877250,13.72475
877240,13.7753
877200,13.591735
877190,13.58
877180,13.5645
877150,13.59398
877130,13.63919
877110,13.60419
877100,13.6031
877090,13.60275
877080,13.5807
877050,13.813345
877030,13.82
877020,13.839
876970,14.1
876960,14.135875
876950,14.176125
876940,14.28203
876930,14.32138
876900,14.08638
876890,13.94195
876880,13.982655
876870,14
876860,14.052655
876850,14
876840,14.05605
876830,14.02475
876820,14.01195
876770,14.19
876740,14.455885
876720,14.55887
876690,14.52
876680,14.468295
876650,14.423295
876630,14.48
876570,14.573
876530,14.678
876490,14.56563
876460,14.52993
876430,14.33193
876410,14.368
876400,14.135
876380,13.8662
876360,13.5737
876350,13.51469
876330,13.50219
876250,13.49
876230,13.36
876210,13.42562
876180,13.5525
876170,13.59
876160,13.596145
876150,13.70425
876140,13.757
876120,13.89765
876110,13.9971
876100,14.01545
876070,14.04
876050,14.24
876040,14.295
876030,14.24
876020,14.112355
876010,14.102955
876000,14.034705
875990,13.97745
875980,13.7425
875970,13.675
875950,13.554545
875940,13.61305
875930,13.780775
875920,13.739375
875910,13.801525
875900,13.6402
875890,13.6722
875860,12.84665
875820,12.699125
875810,12.6569
875790,12.755
875780,12.76505
875770,12.84085
875750,12.1905
875730,11.804585
875720,11.91
875710,11.9155
875700,11.95901
875690,11.94951
875680,11.94291
875670,12.07845
875660,12.125
875640,12.386795
875630,12.40365
875620,12.80211
875590,12.88471
875580,12.86826
875570,12.78826
875540,12.7474
875520,12.848145
875450,13
875430,12.77592
875400,12.7524
875380,12.7374
875340,12.38881
875310,12.5574
875280,12.5224
875250,12.3478
875210,12.3828
875180,12.376245
875150,12.316245
875130,12.306235
875100,12.331235
875090,12.49372
875080,12.71612
875050,12.7474
875030,12.76
875020,12.7074
875010,12.65
875000,12.73495
874970,12.71165
874960,12.725
874940,12.8
874930,12.855
874920,12.86474
874910,12.8
874890,12.93974
874880,12.9436
874870,12.93974
874840,12.95
874810,13.05
874790,13.0638
874770,13.05
874730,13.410935
874700,13.59
874660,13.984775
874650,13.9615
874640,14.00975
874620,13.78158
874580,13.76
874520,13.875
874510,13.88475
874500,13.948155
874460,14.057555
874430,14.092605
874420,14.096555
874410,14.096505
874400,14.082
874390,14.0824
874320,14.0807
874310,14.09
874300,14.0807
874290,14.09
874280,14.199625
874250,14.277575
874230,14.28802
874180,14.30802
874120,14.332115
874100,14.28817
874060,14.15
874040,14.14705
874000,14.10324
873980,14.095
873940,14.1
873930,14.12205
873920,14.13205
873870,14.13705
873860,14.22309
873830,14.33924
873800,14.35185
873770,14.25389
873750,14.249355
873700,14.305
873690,14.31865
873660,14.394185
873650,14.4132
873640,14.45
873630,14.43204
873620,14.47419
873610,14.48554
873590,14.46438
873570,14.39673
873550,14.41468
873540,14.43765
873530,14.4761
873510,14.575375
873500,14.624575
873490,14.5652
873480,14.6491
873440,14.585
873420,14.42422
873400,14.34117
873390,14.33707
873370,14.34569
873350,14.17
873330,14.1605
873320,14.06584
873310,14.055
873290,14.062
873280,14.122765
873260,14.1655
873250,14.210725
873230,14.176225
873220,14.2305
873210,14.280125
873200,14.293325
873190,14.330955
873180,14.270955
873160,14.26
873150,14.2036
872630,14.2561
872610,14.27
872600,14.27271
872580,14.27
872570,14.2663
872540,14.3113
872520,14.367655
872510,14.38235
872500,14.402655
872490,14.37795
872470,14.345685
872440,14.245785
872430,14.153455
872420,14.105
872410,14.0599
872380,13.881125
872360,13.85178
872320,13.82178
872310,13.8405
872300,14.06529
872280,14.34529
872260,14.36
872240,14.355
872210,14.36135
872200,14.445
872180,14.4591
872170,14.4485
872160,14.4335
872130,14.426865
872120,14.44
872110,14.439145
872100,14.4847
872090,14.4969
872080,14.474145
872070,14.47455
872040,14.474145
872020,14.47675
872010,14.4881
872000,14.5057
871960,14.38962
871940,14.360955
871930,14.37
871910,14.380955
871900,14.3915
871870,14.598675
871860,14.59975
871850,14.61395
871830,14.43109
871810,14.39054
871800,14.45554
871790,14.46525
871780,14.45554
871760,14.47
871750,14.49335
871740,14.4752
871730,14.4887
871720,14.48665
871710,14.7197
871680,14.8837
871670,14.8933
871660,14.8837
871650,14.85325
871640,14.83735
871630,14.85325
871620,14.83375
871610,14.8337
871600,14.8573
871580,14.8837
871560,14.9459
871550,14.94535
871540,14.91
871500,14.89
871490,14.88315
871460,14.8837
871450,14.880125
871440,14.896425
871400,14.89
871390,14.9649
871370,15.0014
871360,15.0387
871350,14.97315
871340,15.031
871330,15.0795
871320,15.032135
871310,15.029335
871290,15.019785
871280,14.962035
871270,14.91182
871260,14.97067
871240,14.8799
871220,14.85
871210,14.825
871200,14.89475
871190,14.8549
871180,14.88895
871170,14.894475
871160,14.8957
871130,14.844575
871120,14.81
871110,14.805
871080,14.78441
871070,14.78776
871060,14.785
871040,14.7463
871030,14.74265
871020,14.73715
870990,14.858635
870970,14.9098
870950,15.01
870940,14.9501
870920,14.82317
870900,14.8217
870890,14.8211
870870,14.7839
870860,14.6805
